RGU Node,barQ_i(capacity),c_i(fixed cost),v_i(variable cost)
4,46,186,3.0434345833283807
5,33,184,3.60804127715673
6,85,160,4.032297679571314
8,42,170,3.2035998208034453
11,44,176,4.016424943244052
14,91,175,4.362978851396252
16,89,180,3.840985839885232
18,60,174,4.007566446086038
19,50,192,3.5127423330713508
20,52,186,4.68997461747434
21,43,153,3.5563409647385598
22,39,194,3.3014017339392545
23,39,190,4.77138761127879
30,97,175,3.0949124271205664
32,36,184,3.9207322402028133
34,54,192,4.66520522162384
35,88,151,4.507017308282903
37,56,196,4.583623030022263
38,88,154,4.764150548634483
40,67,195,3.575215121690537
44,57,161,3.45362692802233
45,51,173,3.0280829111734
47,30,159,4.406343927549627
48,34,182,3.399089020381143
51,75,191,3.7704464199210124
52,51,186,4.2876650566496775
55,67,183,3.9398451700877013
57,76,150,3.0188282061901326
60,58,155,4.974913552155436
64,97,191,4.513496768553286
68,87,192,3.700273650664469
73,91,164,3.992784945015105
84,27,175,4.304851071867763
85,55,153,3.923010963492879
90,99,190,3.1429439859422756
91,57,178,4.369232245846677
94,65,195,3.8174975322261915
95,95,173,4.8795001036969
102,55,156,4.766131575032659
113,31,171,3.6817075655113576
