Line No.,Bus No. 1,Bus No. 2,R (Resistance),X (Reactance),Rating MVA
1,1,2,0.0303,0.0999,100
2,1,3,0.0129,0.0424,100
3,4,5,0.00176,0.0080,100
4,3,5,0.0241,0.1080,100
5,5,6,0.0119,0.0540,100
6,6,7,0.00459,0.0208,100
7,8,9,0.00244,0.0305,100
8,8,5,0,0.0267,100
9,9,10,0.00258,0.0322,100
10,4,11,0.0209,0.0688,100
11,5,11,0.0203,0.0682,100
12,11,12,0.00595,0.0196,100
13,2,12,0.0187,0.0616,100
14,3,12,0.0484,0.1600,100
15,7,12,0.00862,0.0340,100
16,11,13,0.02225,0.0731,100
17,12,14,0.0215,0.0707,100
18,13,15,0.0744,0.2444,100
19,14,15,0.0595,0.1950,100
20,12,16,0.0212,0.0834,100
21,15,17,0.0132,0.0437,100
22,16,17,0.0454,0.1801,100
23,17,18,0.0123,0.0505,100
24,18,19,0.01119,0.0493,100
25,19,20,0.0252,0.1170,100
26,15,19,0.012,0.0394,100
27,20,21,0.0183,0.0849,100
28,21,22,0.0209,0.0970,100
29,22,23,0.0342,0.1590,100
30,23,24,0.0135,0.0492,100
31,23,25,0.0156,0.0800,100
32,26,25,0,0.0382,100
33,25,27,0.0318,0.1630,100
34,27,28,0.01913,0.0855,100
35,28,29,0.0237,0.0943,100
36,30,17,0,0.0388,100
37,8,30,0.00431,0.0504,100
38,26,30,0.00799,0.0860,100
39,17,31,0.0474,0.1563,100
40,29,31,0.0108,0.0331,100
41,23,32,0.0317,0.1153,100
42,31,32,0.0298,0.0985,100
43,27,32,0.0229,0.0755,100
44,15,33,0.038,0.1244,100
45,19,34,0.0752,0.247,100
46,35,36,0.00224,0.0102,100
47,35,37,0.011,0.0497,100
48,33,37,0.0415,0.142,100
49,34,36,0.00871,0.0268,100
50,34,37,0.00256,0.0094,100
51,38,37,0,0.0375,100
52,37,39,0.0321,0.106,100
53,37,40,0.0593,0.168,100
54,30,38,0.00464,0.054,100
55,39,40,0.0184,0.0605,100
56,40,41,0.0145,0.0487,100
57,40,42,0.0555,0.183,100
58,41,42,0.041,0.135,100
59,43,44,0.0608,0.2454,100
60,34,43,0.0413,0.1681,100
61,44,45,0.0224,0.0901,100
62,45,46,0.04,0.1356,100
63,46,47,0.038,0.127,100
64,46,48,0.0601,0.189,100
65,47,49,0.0191,0.0625,100
66,42,49,0.0715,0.323,100
67,42,49,0.0715,0.323,100
68,45,49,0.0684,0.186,100
69,48,49,0.0179,0.0505,100
70,49,50,0.0267,0.0752,100
71,49,51,0.0486,0.137,100
72,51,52,0.0203,0.0588,100
73,52,53,0.0405,0.1635,100
74,53,54,0.0263,0.122,100
75,49,54,0.073,0.289,100
76,49,54,0.0869,0.291,100
77,54,55,0.0169,0.0707,100
78,54,56,0.00275,0.00955,100
79,55,56,0.00488,0.0151,100
80,56,57,0.0343,0.0966,100
81,50,57,0.0474,0.134,100
82,56,58,0.0343,0.0966,100
83,51,58,0.0255,0.0719,100
84,54,59,0.0503,0.2293,100
85,56,59,0.0825,0.251,100
86,56,59,0.0803,0.239,100
87,55,59,0.04739,0.2158,100
88,59,60,0.0317,0.145,100
89,59,61,0.0328,0.15,100
90,60,61,0.00264,0.0135,100
91,60,62,0.0123,0.0561,100
92,61,62,0.00824,0.0376,100
93,63,59,0,0.0386,100
94,63,64,0.00172,0.02,100
95,64,61,0,0.0268,100
96,38,65,0.00901,0.0986,100
97,64,65,0.00269,0.0302,100
98,49,66,0.018,0.0919,100
99,49,66,0.018,0.0919,100
100,62,66,0.0482,0.218,100
101,62,67,0.0258,0.117,100
102,65,66,0,0.037,100
103,66,67,0.0224,0.1015,100
104,65,68,0.00138,0.016,100
105,47,69,0.0844,0.2778,100
106,49,69,0.0985,0.324,100
107,68,69,0,0.037,100
108,69,70,0.03,0.127,100
109,24,70,0.00221,0.4115,100
110,70,71,0.00882,0.0355,100
111,24,72,0.0488,0.196,100
112,71,72,0.0446,0.18,100
113,71,73,0.00866,0.0454,100
114,70,74,0.0401,0.1323,100
115,70,75,0.0428,0.141,100
116,69,75,0.0405,0.122,100
117,74,75,0.0123,0.0406,100
118,76,77,0.0444,0.148,100
119,69,77,0.0309,0.101,100
120,75,77,0.0601,0.1999,100
121,77,78,0.00376,0.0124,100
122,78,79,0.00546,0.0244,100
123,77,80,0.017,0.0485,100
124,77,80,0.0294,0.105,100
125,79,80,0.0156,0.0704,100
126,68,81,0.00175,0.0202,100
127,81,80,0,0.037,100
128,77,82,0.0298,0.0853,100
129,82,83,0.0112,0.03665,100
130,83,84,0.0625,0.132,100
131,83,85,0.043,0.148,100
132,84,85,0.0302,0.0641,100
133,85,86,0.035,0.123,100
134,86,87,0.02828,0.2074,100
135,85,88,0.02,0.102,100
136,85,89,0.0239,0.173,100
137,88,89,0.0139,0.0712,100
138,89,90,0.0518,0.188,100
139,89,90,0.0238,0.0997,100
140,90,91,0.0254,0.0836,100
141,89,92,0.0099,0.0505,100
142,89,92,0.0393,0.1581,100
143,91,92,0.0387,0.1272,100
144,92,93,0.0258,0.0848,100
145,92,94,0.0481,0.158,100
146,93,94,0.0223,0.0732,100
147,94,95,0.0132,0.0434,100
148,80,96,0.0356,0.182,100
149,82,96,0.0162,0.053,100
150,94,96,0.0269,0.0869,100
151,80,97,0.0183,0.0934,100
152,80,98,0.0238,0.108,100
153,80,99,0.0454,0.206,100
154,92,100,0.0648,0.295,100
155,94,100,0.0178,0.058,100
156,95,96,0.0171,0.0547,100
157,96,97,0.0173,0.0885,100
158,98,100,0.0397,0.179,100
159,99,100,0.018,0.0813,100
160,100,101,0.0277,0.1262,100
161,92,102,0.0123,0.0559,100
162,101,102,0.0246,0.112,100
163,100,103,0.016,0.0525,100
164,100,104,0.0451,0.204,100
165,103,104,0.0466,0.1584,100
166,103,105,0.0535,0.1625,100
167,100,106,0.0605,0.229,100
168,104,105,0.00994,0.0378,100
169,105,106,0.014,0.0547,100
170,105,107,0.053,0.183,100
171,105,108,0.0261,0.0703,100
172,106,107,0.053,0.183,100
173,108,109,0.0105,0.0288,100
174,103,110,0.03906,0.1813,100
175,109,110,0.0278,0.0762,100
176,110,111,0.022,0.0755,100
177,110,112,0.0247,0.064,100
178,17,113,0.00913,0.0301,100
179,32,113,0.0615,0.203,100
180,32,114,0.0135,0.0612,100
181,27,115,0.0164,0.0741,100
182,114,115,0.0023,0.0104,100
183,68,116,0.00034,0.00405,100
184,12,117,0.0329,0.14,100
185,75,118,0.0145,0.0481,100
186,76,118,0.0164,0.0544,100
