Bus No.,Load MW,Load MVAR,Demand curve intercept,Demand curve slope
1,90.0,49.0,40,-0.111111111
2,56.0,15.0,40,-0.178571429
3,20.0,0.0,40,-0.5
5,353.0,130.0,40,-0.028328612
6,120.0,41.0,40,-0.083333333
8,58.0,14.0,40,-0.172413793
9,96.0,43.0,40,-0.104166667
10,148.0,33.0,40,-0.067567568
11,83.0,21.0,40,-0.120481928
13,58.0,10.0,40,-0.172413793
14,160.0,60.0,40,-0.0625
15,126.7,23.0,40,-0.078926598
17,561.0,220.0,40,-0.017825312
20,595.0,120.0,40,-0.016806723
21,77.0,1.0,40,-0.12987013
22,81.0,23.0,40,-0.12345679
23,21.0,7.0,40,-0.476190476
25,45.0,12.0,40,-0.222222222
26,28.0,9.0,40,-0.357142857
27,69.0,13.0,40,-0.144927536
33,55.0,6.0,40,-0.181818182
37,85.0,32.0,40,-0.117647059
38,155.0,18.0,40,-0.064516129
40,46.0,-21.0,40,-0.217391304
41,86.0,0.0,40,-0.11627907
43,39.0,9.0,40,-0.256410256
44,195.0,29.0,40,-0.051282051
47,58.0,11.8,40,-0.172413793
48,41.0,19.0,40,-0.243902439
49,92.0,26.0,40,-0.108695652
52,61.0,28.0,40,-0.163934426
53,69.0,3.0,40,-0.144927536
54,10.0,1.0,40,-1
55,22.0,10.0,40,-0.454545455
57,98.0,20.0,40,-0.102040816
58,14.0,1.0,40,-0.714285714
59,218.0,106.0,40,-0.04587156
61,227.0,110.0,40,-0.044052863
63,70.0,30.0,40,-0.142857143
70,56.0,20.0,40,-0.178571429
71,116.0,38.0,40,-0.086206897
72,57.0,19.0,40,-0.175438596
73,224.0,71.0,40,-0.044642857
76,208.0,107.0,40,-0.048076923
77,74.0,28.0,40,-0.135135135
79,48.0,14.0,40,-0.208333333
80,28.0,7.0,40,-0.357142857
84,37.0,13.0,40,-0.27027027
89,44.2,0.0,40,-0.226244344
90,66.0,0.0,40,-0.151515152
91,17.4,0.0,40,-0.574712644
92,15.8,0.0,40,-0.632911392
94,60.3,0.0,40,-0.165837479
97,39.9,0.0,40,-0.250626566
98,66.7,0.0,40,-0.149925037
99,83.5,0.0,40,-0.119760479
102,77.8,0.0,40,-0.128534704
103,32.0,0.0,40,-0.3125
104,8.6,0.0,40,-1.162790698
105,49.6,0.0,40,-0.201612903
107,4.6,0.0,40,-2.173913043
108,112.1,0.0,40,-0.089206066
109,30.7,0.0,40,-0.325732899
110,63.0,0.0,40,-0.158730159
112,19.6,0.0,40,-0.510204082
113,26.2,0.0,40,-0.381679389
114,18.2,0.0,40,-0.549450549
118,14.1,650.0,40,-0.709219858
120,777.0,215.0,40,-0.012870013
121,535.0,55.0,40,-0.018691589
122,229.1,11.8,40,-0.043649062
123,78.0,1.4,40,-0.128205128
124,276.4,59.3,40,-0.03617945
125,514.8,82.7,40,-0.019425019
126,57.9,5.1,40,-0.172711572
127,380.8,37.0,40,-0.026260504
135,169.2,41.6,40,-0.059101655
136,55.2,18.2,40,-0.18115942
137,273.6,99.8,40,-0.036549708
138,826.7,135.2,40,-0.012096286
139,595.0,83.3,40,-0.016806723
140,387.7,114.7,40,-0.025793139
141,145.0,58.0,40,-0.068965517
142,56.5,24.5,40,-0.17699115
143,89.5,35.5,40,-0.111731844
145,24.0,14.0,40,-0.416666667
148,63.0,25.0,40,-0.158730159
152,17.0,9.0,40,-0.588235294
154,70.0,5.0,40,-0.142857143
155,200.0,50.0,40,-0.05
156,75.0,50.0,40,-0.133333333
157,123.5,-24.3,40,-0.08097166
159,33.0,16.5,40,-0.303030303
161,35.0,15.0,40,-0.285714286
162,85.0,24.0,40,-0.117647059
167,299.9,95.7,40,-0.033344448
170,481.8,205.0,40,-0.0207555
171,763.6,291.1,40,-0.013095862
172,26.5,0.0,40,-0.377358491
173,163.5,43.0,40,-0.06116208
175,176.0,83.0,40,-0.056818182
176,5.0,4.0,40,-2
177,28.0,12.0,40,-0.357142857
178,427.4,173.6,40,-0.023397286
179,74.0,29.0,40,-0.135135135
180,69.5,49.3,40,-0.143884892
181,73.4,0.0,40,-0.136239782
182,240.7,89.0,40,-0.041545492
183,40.0,4.0,40,-0.25
184,136.8,16.6,40,-0.073099415
186,59.8,24.3,40,-0.16722408
187,59.8,24.3,40,-0.16722408
188,182.6,43.6,40,-0.054764513
189,7.0,2.0,40,-1.428571429
191,489.0,53.0,40,-0.020449898
192,800.0,72.0,40,-0.0125
196,10.0,3.0,40,-1
197,43.0,14.0,40,-0.23255814
198,64.0,21.0,40,-0.15625
199,35.0,12.0,40,-0.285714286
200,27.0,12.0,40,-0.37037037
201,41.0,14.0,40,-0.243902439
202,38.0,13.0,40,-0.263157895
203,42.0,14.0,40,-0.238095238
204,72.0,24.0,40,-0.138888889
206,12.0,2.0,40,-0.833333333
208,7.0,2.0,40,-1.428571429
209,38.0,13.0,40,-0.263157895
211,96.0,7.0,40,-0.104166667
214,22.0,16.0,40,-0.454545455
215,47.0,26.0,40,-0.212765957
216,176.0,105.0,40,-0.056818182
217,100.0,75.0,40,-0.1
218,131.0,96.0,40,-0.076335878
220,285.0,100.0,40,-0.035087719
221,171.0,70.0,40,-0.058479532
222,328.0,188.0,40,-0.030487805
223,428.0,232.0,40,-0.023364486
224,173.0,99.0,40,-0.057803468
225,410.0,40.0,40,-0.024390244
227,538.0,369.0,40,-0.018587361
228,223.0,148.0,40,-0.044843049
229,96.0,46.0,40,-0.104166667
231,159.0,107.0,40,-0.062893082
232,448.0,143.0,40,-0.022321429
233,404.0,212.0,40,-0.024752475
234,572.0,244.0,40,-0.017482517
235,269.0,157.0,40,-0.037174721
238,255.0,149.0,40,-0.039215686
243,8.0,3.0,40,-1.25
245,61.0,30.0,40,-0.163934426
246,77.0,33.0,40,-0.12987013
247,61.0,30.0,40,-0.163934426
248,29.0,14.0,40,-0.344827586
249,29.0,14.0,40,-0.344827586
319,115.8,-24.0,40,-0.086355786
320,2.4,-12.6,40,-4.166666667
322,2.4,-3.9,40,-4.166666667
324,24.7,-1.2,40,-0.4048583
526,145.3,-34.9,40,-0.068823125
528,28.1,-20.5,40,-0.355871886
531,14.0,2.5,40,-0.714285714
562,50.5,17.4,40,-0.198019802
609,29.6,0.6,40,-0.337837838
1190,100.3,29.2,40,-0.099700897
9003,2.7,0.9,40,-3.703703704
9004,0.8,0.3,40,-12.5
9021,4.7,1.6,40,-2.127659574
9022,1.5,0.5,40,-6.666666667
9024,1.3,0.5,40,-7.692307692
9025,0.4,0.2,40,-25
9026,0.4,0.2,40,-25
9031,1.8,0.6,40,-5.555555556
9032,1.3,0.5,40,-7.692307692
9033,1.8,0.7,40,-5.555555556
9034,1.5,0.5,40,-6.666666667
9035,1.6,0.6,40,-6.25
9036,3.0,1.0,40,-3.333333333
9037,1.8,0.6,40,-5.555555556
9038,2.5,0.9,40,-4
9041,1.0,0.4,40,-10
9042,0.8,0.3,40,-12.5
9043,1.6,0.5,40,-6.25
9052,30.0,23.0,40,-0.333333333
9071,1.0,0.4,40,-10
9072,1.0,0.4,40,-10
9121,3.8,1.3,40,-2.631578947
9533,1.1,0.4,40,-9.090909091
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
