Bus No.,Load MW,Load MVAR,Demand curve intercept,Demand curve slope
1,55.0,17.0,40,-0.1818
2,3.0,88.0,40,-3.3333
3,41.0,21.0,40,-0.2439
5,13.0,4.0,40,-0.7692
6,75.0,2.0,40,-0.1333
8,150.0,22.0,40,-0.0667
9,121.0,26.0,40,-0.0826
10,5.0,2.0,40,-2.0000
12,377.0,24.0,40,-0.0265
13,18.0,2.3,40,-0.5556
14,10.5,5.3,40,-0.9524
15,22.0,5.0,40,-0.4545
16,43.0,3.0,40,-0.2326
17,42.0,8.0,40,-0.2381
18,27.2,9.8,40,-0.3676
19,3.3,0.6,40,-3.0303
20,2.3,1.0,40,-4.3478
23,6.3,2.1,40,-1.5873
25,6.3,3.2,40,-1.5873
27,9.3,0.5,40,-1.0753
28,4.6,2.3,40,-2.1739
29,17.0,2.6,40,-0.5882
30,3.6,1.8,40,-2.7778
31,5.8,2.9,40,-1.7241
32,1.6,0.8,40,-6.2500
33,3.8,1.9,40,-2.6316
35,6.0,3.0,40,-1.6667
38,14.0,7.0,40,-0.7143
41,6.3,3.0,40,-1.5873
42,7.1,4.4,40,-1.4085
43,2.0,1.0,40,-5.0000
44,12.0,1.8,40,-0.8333
47,29.7,11.6,40,-0.3367
49,18.0,8.5,40,-0.5556
50,21.0,10.5,40,-0.4762
51,18.0,5.3,40,-0.5556
52,4.9,2.2,40,-2.0408
53,20.0,10.0,40,-0.5000
54,4.1,1.4,40,-2.4390
55,6.8,3.4,40,-1.4706
56,7.6,2.2,40,-1.3158
57,6.7,2.0,40,-1.4925
