Node,barQ_i(capacity),c_i(fixed cost),v_i(variable cost)
2,107,198,4.368100896150066
3,112,189,4.647562716785544
4,107,184,4.7936024645275195
5,121,166,4.166640093846952
6,186,180,3.0804364418092014
8,167,189,4.422973648235516
10,163,185,4.138051708526716
11,198,161,4.6519144443407985
12,149,170,4.064320946948689
13,103,168,4.626488190728384
15,116,184,4.994020586144984
18,126,170,3.7011096227357765
19,167,170,3.3420428800413484
20,135,177,3.7833495989078054
22,131,178,4.506099979731353
23,111,155,3.878457863716613
24,171,196,4.17676021885843
25,102,170,3.2547169438433423
26,146,158,4.452247021867961
28,174,150,3.5601648037329987
29,150,171,3.3812351208080367
30,168,187,4.725899997166389
32,178,164,4.128825642241188
33,122,192,3.9689978846925005
34,109,159,4.797647530496969
35,105,156,3.1720248721220052
36,157,169,4.392308900681785
37,126,185,3.655964579529205
38,119,164,3.350819499970162
39,173,191,4.349597299934558
40,180,151,3.7256439017258725
41,195,199,3.6597916649878717
43,148,152,4.887355530458375
44,152,192,3.3985966813589723
46,198,150,4.02434731567547
47,150,171,3.0480264013426988
48,118,165,3.3267361822739123
50,125,198,4.766837467267123
51,196,182,4.578495096505352
52,104,198,4.1136709801079805
53,180,170,3.4449067919827208
54,164,175,4.115495165242613
55,148,175,3.0242930522272253
56,183,187,4.425987261875841
59,181,175,4.4335013611274565
60,143,195,4.29209004713271
61,160,159,4.222677368550403
66,176,173,3.1474328652490753
67,165,162,3.4928119381019513
68,148,193,4.148756096195864
70,191,156,3.788373532057795
71,188,185,4.98404645716289
72,106,195,4.8474907147503625
73,154,164,3.304015805045074
74,183,163,4.179921185299062
75,108,188,4.392430212206913
76,138,179,3.2730868286017722
78,150,178,3.6251912942023425
79,132,194,4.431835693850989
81,169,154,4.802216186845673
82,199,163,3.6834853004122703
83,136,169,3.477887423382561
84,178,195,4.643584005460429
85,111,153,4.169965360451357
88,148,172,3.9531768434115406
89,100,173,3.5123000428557845
92,142,150,3.145316697296642
93,101,171,3.0357828417939503
94,187,182,4.159940361128189
95,196,171,3.3822205469201494
96,108,165,4.951065956853641
97,181,179,3.2149544567722943
98,170,199,3.9041775766542166
99,130,156,3.78931959414192
100,178,164,3.464622950571062
