
Gurobi 9.5.2 (win64) logging started Mon Mar 27 21:58:14 2023

Set parameter LogFile to value "2023-03-27_20hr-25min-09sec/Nodes30_Arcs35_LocNodes22/Formulation-1Instance-4.log"
Set parameter TimeLimit to value 600
Set parameter IntFeasTol to value 1e-09
Set parameter DualReductions to value 0
Set parameter NonConvex to value 2
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (win64)
Thread count: 4 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 118 rows, 204 columns and 418 nonzeros
Model fingerprint: 0xe320866f
Model has 22 quadratic objective terms
Model has 65 SOS constraints
Variable types: 182 continuous, 22 integer (22 binary)
Coefficient statistics:
  Matrix range     [3e-02, 2e+02]
  Objective range  [3e+00, 2e+02]
  QObjective range [2e+00, 2e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [3e-01, 2e+03]
Presolve removed 1 rows and 1 columns
Presolve time: 0.00s
Presolved: 162 rows, 227 columns, 532 nonzeros
Presolved model has 65 SOS constraint(s)
Presolved model has 22 bilinear constraint(s)
Variable types: 205 continuous, 22 integer (22 binary)

Root relaxation: unbounded, 109 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0  postponed    0               -          -      -     -    0s
     0     0  postponed    0               -          -      -     -    0s
Exploring 100 nodes in MinRel heuristic
No solution found by MinRel heuristic
     0     2  postponed    0               -          -      -     -    0s
Exploring 10000 nodes in MinRel heuristic
H 4305   901                    -11183.83653          -      -  20.5    1s
Feasible solution found by MinRel heuristic at node 947
 14850  1810 infeasible   51      -11183.837          -      -  15.9    5s
 31898  2437  postponed   41      -11183.837          -      -  13.2   10s
 47320  2930  postponed   45      -11183.837          -      -  13.0   15s
 64187  3392 infeasible   45      -11183.837          -      -  13.1   20s
 78026  3705  postponed   48      -11183.837          -      -  13.4   25s
 93883  3904 infeasible   48      -11183.837          -      -  13.6   30s
 110871  4027  postponed   46      -11183.837          -      -  13.6   35s
 127365  3955 infeasible   51      -11183.837          -      -  13.9   40s
 143790  3852  postponed   48      -11183.837          -      -  14.4   45s
 159680  3777 infeasible   44      -11183.837          -      -  14.6   50s
 176649  3691 infeasible   50      -11183.837          -      -  14.6   55s
 192599  3682  postponed   48      -11183.837          -      -  14.6   60s
 209521  3609  postponed   36      -11183.837          -      -  14.6   65s
 226497  3622 infeasible   46      -11183.837          -      -  14.5   70s
 239791  3635 infeasible   48      -11183.837          -      -  14.5   75s
 251584  3605  postponed   46      -11183.837          -      -  14.5   80s
 263296  3625  postponed   51      -11183.837          -      -  14.6   85s
 276280  3564  postponed   49      -11183.837          -      -  14.6   90s
 290691  3515  postponed   48      -11183.837          -      -  14.7   95s
 303998  3461 infeasible   48      -11183.837          -      -  14.7  100s
 320629  3529 infeasible   43      -11183.837          -      -  14.6  105s
 335139  3596  postponed   43      -11183.837          -      -  14.6  110s
 349718  3592  postponed   44      -11183.837          -      -  14.5  115s
 366829  3654  postponed   40      -11183.837          -      -  14.5  120s
 382146  3537 infeasible   48      -11183.837          -      -  14.4  125s
 397749  3504  postponed   42      -11183.837          -      -  14.4  130s
 412219  3390 infeasible   48      -11183.837          -      -  14.4  135s
 426716  3407 infeasible   49      -11183.837          -      -  14.4  140s
 442233  3698 infeasible   45      -11183.837          -      -  14.3  145s
 457148  3845 infeasible   46      -11183.837          -      -  14.3  150s
 470456  4041 infeasible   51      -11183.837          -      -  14.3  155s
 486253  4026 infeasible   51      -11183.837          -      -  14.2  160s
 500452  3982 infeasible   51      -11183.837          -      -  14.2  165s
 516162  3886 infeasible   52      -11183.837          -      -  14.2  170s
 531956  3774 infeasible   47      -11183.837          -      -  14.2  175s
 547584  3697 infeasible   43      -11183.837          -      -  14.2  180s
 563061  3631  postponed   53      -11183.837          -      -  14.2  185s
 578661  3728 infeasible   45      -11183.837          -      -  14.2  190s
 592930  3923  postponed   46      -11183.837          -      -  14.2  195s
 608323  4012 infeasible   50      -11183.837          -      -  14.2  200s
 624171  4055  postponed   50      -11183.837          -      -  14.2  205s
 639622  4025 infeasible   50      -11183.837          -      -  14.2  210s
 656487  3950  postponed   50      -11183.837          -      -  14.3  215s
 669851  3828 infeasible   51      -11183.837          -      -  14.3  220s
 678341  3764 infeasible   52      -11183.837          -      -  14.3  225s
 690979  3741 infeasible   48      -11183.837          -      -  14.3  230s
 704082  3683  postponed   45      -11183.837          -      -  14.3  235s
 718438  3731  postponed   47      -11183.837          -      -  14.3  240s
 734140  3909  postponed   49      -11183.837          -      -  14.3  245s
 749831  3799  postponed   44      -11183.837          -      -  14.3  250s
 767644  3679 infeasible   51      -11183.837          -      -  14.4  255s
 783239  3587  postponed   48      -11183.837          -      -  14.4  260s
 798226  3615  postponed   49      -11183.837          -      -  14.4  265s
 814960  3636  postponed   43      -11183.837          -      -  14.4  270s
 831811  3558 infeasible   53      -11183.837          -      -  14.5  275s
 847710  3454  postponed   46      -11183.837          -      -  14.5  280s
 864907  3373 infeasible   43      -11183.837          -      -  14.5  285s
