
Gurobi 9.5.2 (win64) logging started Mon Mar 27 22:33:47 2023

Set parameter LogFile to value "2023-03-27_20hr-25min-09sec/Nodes30_Arcs45_LocNodes22/Formulation-1Instance-3.log"
Set parameter TimeLimit to value 600
Set parameter IntFeasTol to value 1e-09
Set parameter DualReductions to value 0
Set parameter NonConvex to value 2
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (win64)
Thread count: 4 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 128 rows, 224 columns and 478 nonzeros
Model fingerprint: 0x1455da80
Model has 22 quadratic objective terms
Model has 75 SOS constraints
Variable types: 202 continuous, 22 integer (22 binary)
Coefficient statistics:
  Matrix range     [1e-01, 2e+02]
  Objective range  [3e+00, 2e+02]
  QObjective range [2e+00, 2e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [4e-02, 2e+03]
Presolve removed 1 rows and 4 columns
Presolve time: 0.00s
Presolved: 172 rows, 244 columns, 579 nonzeros
Presolved model has 71 SOS constraint(s)
Presolved model has 22 bilinear constraint(s)
Variable types: 222 continuous, 22 integer (22 binary)

Root relaxation: unbounded, 124 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0  postponed    0               -          -      -     -    0s
     0     0  postponed    0               -          -      -     -    0s
Exploring 100 nodes in MinRel heuristic
No solution found by MinRel heuristic
     0     2  postponed    0               -          -      -     -    0s
Exploring 10000 nodes in MinRel heuristic
H 3950  1025                    -9861.303320          -      -  30.6    2s
Feasible solution found by MinRel heuristic at node 3446
  9592  1299 infeasible   46      -9861.3033          -      -  30.2    5s
 19666  2088  postponed   43      -9861.3033          -      -  33.0   10s
 29895  2713  postponed   46      -9861.3033          -      -  34.4   15s
 43657  3116  postponed   44      -9861.3033          -      -  31.7   20s
 56124  3558 infeasible   47      -9861.3033          -      -  30.6   25s
 70064  3925  postponed   47      -9861.3033          -      -  28.8   30s
 85311  4114  postponed   50      -9861.3033          -      -  27.2   35s
 99316  4302  postponed   52      -9861.3033          -      -  26.4   40s
 114266  4332 infeasible   53      -9861.3033          -      -  25.4   45s
 127407  4239  postponed   41      -9861.3033          -      -  24.8   50s
 140851  4197  postponed   52      -9861.3033          -      -  24.3   55s
 156421  4126  postponed   49      -9861.3033          -      -  23.9   60s
 170090  4105 infeasible   52      -9861.3033          -      -  23.4   65s
 185700  4059 infeasible   49      -9861.3033          -      -  23.0   70s
 201605  4027  postponed   50      -9861.3033          -      -  22.6   75s
 217420  3954  postponed   47      -9861.3033          -      -  22.2   80s
 231130  3894 infeasible   42      -9861.3033          -      -  22.0   85s
 244796  4222  postponed   45      -9861.3033          -      -  22.0   90s
 256302  4405  postponed   49      -9861.3033          -      -  22.1   95s
 269073  4579  postponed   48      -9861.3033          -      -  22.3  100s
 281009  4604 infeasible   46      -9861.3033          -      -  22.4  105s
 293008  4512  postponed   51      -9861.3033          -      -  22.5  110s
 304721  4412  postponed   47      -9861.3033          -      -  22.7  115s
 317906  4303  postponed   48      -9861.3033          -      -  22.8  120s
 329855  4371  postponed   45      -9861.3033          -      -  23.0  125s
 342889  4313 infeasible   47      -9861.3033          -      -  23.1  130s
 355070  4235  postponed   50      -9861.3033          -      -  23.2  135s
 366807  4220 infeasible   53      -9861.3033          -      -  23.4  140s
 379757  4176 infeasible   46      -9861.3033          -      -  23.6  145s
 392192  4207 infeasible   42      -9861.3033          -      -  23.6  150s
 405456  4151 infeasible   49      -9861.3033          -      -  23.7  155s
 418907  4074 infeasible   51      -9861.3033          -      -  23.8  160s
 432390  4147 infeasible   42      -9861.3033          -      -  23.8  165s
 444744  4135 infeasible   49      -9861.3033          -      -  23.7  170s
 457877  4055  postponed   40      -9861.3033          -      -  23.7  175s
 473284  4114  postponed   50      -9861.3033          -      -  23.6  180s
 488995  4096  postponed   46      -9861.3033          -      -  23.4  185s
 504344  4001  postponed   51      -9861.3033          -      -  23.3  190s
 515929  3968  postponed   50      -9861.3033          -      -  23.2  195s
 527746  3940  postponed   44      -9861.3033          -      -  23.1  200s
 540611  4103  postponed   48      -9861.3033          -      -  23.0  205s
 558191  4072 infeasible   51      -9861.3033          -      -  22.7  210s
 571401  4056  postponed   52      -9861.3033          -      -  22.6  215s
 585887  4035 infeasible   53      -9861.3033          -      -  22.4  220s
 599009  3964 infeasible   52      -9861.3033          -      -  22.2  225s
 612157  3942 infeasible   52      -9861.3033          -      -  22.1  230s
 624930  3863  postponed   51      -9861.3033          -      -  22.0  235s
 639741  3825 infeasible   47      -9861.3033          -      -  22.0  240s
 653265  3804 infeasible   46      -9861.3033          -      -  22.1  245s
 665960  3781  postponed   41      -9861.3033          -      -  22.2  250s
 678514  3820 infeasible   46      -9861.3033          -      -  22.3  255s
 691299  3713  postponed   49      -9861.3033          -      -  22.5  260s
 704136  3809 infeasible   48      -9861.3033          -      -  22.5  265s
 717796  3832 infeasible   49      -9861.3033          -      -  22.6  270s
 731784  3771 infeasible   48      -9861.3033          -      -  22.6  275s
 746381  3767 infeasible   50      -9861.3033          -      -  22.6  280s
