
Gurobi 9.5.2 (win64) logging started Tue Mar 28 00:56:46 2023

Set parameter LogFile to value "2023-03-27_20hr-25min-09sec/Nodes40_Arcs55_LocNodes30/Formulation-1Instance-2.log"
Set parameter TimeLimit to value 600
Set parameter IntFeasTol to value 1e-09
Set parameter DualReductions to value 0
Set parameter NonConvex to value 2
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (win64)
Thread count: 4 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 166 rows, 290 columns and 610 nonzeros
Model fingerprint: 0x1f8de0f9
Model has 30 quadratic objective terms
Model has 95 SOS constraints
Variable types: 260 continuous, 30 integer (30 binary)
Coefficient statistics:
  Matrix range     [2e-02, 2e+02]
  Objective range  [3e+00, 2e+02]
  QObjective range [2e+00, 2e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [4e-06, 3e+03]
Presolve time: 0.00s
Presolved: 227 rows, 322 columns, 765 nonzeros
Presolved model has 95 SOS constraint(s)
Presolved model has 30 bilinear constraint(s)
Variable types: 292 continuous, 30 integer (30 binary)

Root relaxation: unbounded, 173 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0  postponed    0               -          -      -     -    0s
     0     0  postponed    0               -          -      -     -    0s
Exploring 100 nodes in MinRel heuristic
No solution found by MinRel heuristic
     0     2  postponed    0               -          -      -     -    0s
Exploring 10000 nodes in MinRel heuristic
H 1108   668                    -15432.36793          -      -  38.3    1s
Feasible solution found by MinRel heuristic at node 2263
  9807  1721 infeasible   47      -15432.368          -      -  19.2    5s
 23257  2814  postponed   60      -15432.368          -      -  15.6   10s
 37846  3670  postponed   47      -15432.368          -      -  14.6   15s
 50209  3985  postponed   53      -15432.368          -      -  16.1   20s
 63338  4251 infeasible   60      -15432.368          -      -  16.7   25s
 75782  4440  postponed   59      -15432.368          -      -  16.6   30s
 89138  4522  postponed   59      -15432.368          -      -  16.6   35s
 102257  4520  postponed   52      -15432.368          -      -  16.7   40s
 115489  4380  postponed   59      -15432.368          -      -  16.8   45s
 127531  4369  postponed   60      -15432.368          -      -  16.9   50s
 139271  4301 infeasible   61      -15432.368          -      -  17.1   55s
 151700  4229 infeasible   57      -15432.368          -      -  17.1   60s
 166442  4173  postponed   60      -15432.368          -      -  17.0   65s
 179144  4096  postponed   57      -15432.368          -      -  17.0   70s
 192317  4102 infeasible   57      -15432.368          -      -  17.1   75s
 205540  4001  postponed   50      -15432.368          -      -  17.2   80s
 217855  4775  postponed   59      -15432.368          -      -  17.4   85s
 228383  5702 infeasible   67      -15432.368          -      -  17.6   90s
 238466  6331 infeasible   63      -15432.368          -      -  17.8   95s
 249783  6967 infeasible   66      -15432.368          -      -  17.9  100s
 263875  7469  postponed   65      -15432.368          -      -  17.8  105s
 273669  7799 infeasible   67      -15432.368          -      -  17.7  110s
 284932  7996 infeasible   67      -15432.368          -      -  17.5  115s
 298720  8122 infeasible   65      -15432.368          -      -  17.2  120s
 311433  8141  postponed   65      -15432.368          -      -  16.9  125s
 324280  8290  postponed   65      -15432.368          -      -  16.7  130s
 335939  8323  postponed   66      -15432.368          -      -  16.5  135s
 347786  8467 infeasible   67      -15432.368          -      -  16.3  140s
 361366  8472 infeasible   67      -15432.368          -      -  16.0  145s
 373140  8417 infeasible   67      -15432.368          -      -  15.8  150s
 385693  8323  postponed   64      -15432.368          -      -  15.7  155s
 396929  8178 infeasible   67      -15432.368          -      -  15.5  160s
 408897  8082  postponed   66      -15432.368          -      -  15.4  165s
 421658  8122  postponed   63      -15432.368          -      -  15.2  170s
 431418  8113  postponed   60      -15432.368          -      -  15.2  175s
 442354  8295  postponed   66      -15432.368          -      -  15.1  180s
 452332  8664  postponed   63      -15432.368          -      -  15.1  185s
 462128  8869 infeasible   69      -15432.368          -      -  15.2  190s
 472084  8887  postponed   60      -15432.368          -      -  15.1  195s
 482426  8831  postponed   66      -15432.368          -      -  15.1  200s
 493041  8749  postponed   68      -15432.368          -      -  15.1  205s
 503207  8689  postponed   60      -15432.368          -      -  15.1  210s
 513909  8645 infeasible   68      -15432.368          -      -  15.0  215s
 523828  8616  postponed   60      -15432.368          -      -  15.0  220s
 534617  8678  postponed   67      -15432.368          -      -  14.9  225s
 544178  8652 infeasible   67      -15432.368          -      -  14.9  230s
 554370  8561  postponed   65      -15432.368          -      -  15.0  235s
 565515  8500  postponed   63      -15432.368          -      -  14.9  240s
 576534  8460 infeasible   64      -15432.368          -      -  14.9  245s
 588442  8356  postponed   63      -15432.368          -      -  15.0  250s
 599045  8343  postponed   68      -15432.368          -      -  15.0  255s
 611460  8252 infeasible   68      -15432.368          -      -  14.9  260s
 624344  8232  postponed   63      -15432.368          -      -  14.9  265s
 635665  8145  postponed   68      -15432.368          -      -  14.9  270s
 650312  8059  postponed   68      -15432.368          -      -  14.9  275s
 661240  7966 infeasible   65      -15432.368          -      -  14.9  280s
 673032  7913  postponed   66      -15432.368          -      -  14.9  285s
 683120  7939  postponed   63      -15432.368          -      -  14.9  290s
