
Gurobi 9.5.2 (win64) logging started Tue Mar 28 01:06:57 2023

Set parameter LogFile to value "2023-03-27_20hr-25min-09sec/Nodes40_Arcs55_LocNodes30/Formulation-1Instance-3.log"
Set parameter TimeLimit to value 600
Set parameter IntFeasTol to value 1e-09
Set parameter DualReductions to value 0
Set parameter NonConvex to value 2
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (win64)
Thread count: 4 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 166 rows, 290 columns and 610 nonzeros
Model fingerprint: 0x2daa2a81
Model has 30 quadratic objective terms
Model has 95 SOS constraints
Variable types: 260 continuous, 30 integer (30 binary)
Coefficient statistics:
  Matrix range     [1e-02, 2e+02]
  Objective range  [3e+00, 2e+02]
  QObjective range [2e+00, 2e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e-01, 3e+03]
Presolve removed 1 rows and 2 columns
Presolve time: 0.00s
Presolved: 226 rows, 320 columns, 761 nonzeros
Presolved model has 93 SOS constraint(s)
Presolved model has 30 bilinear constraint(s)
Variable types: 290 continuous, 30 integer (30 binary)

Root relaxation: unbounded, 148 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0  postponed    0               -          -      -     -    0s
     0     0  postponed    0               -          -      -     -    0s
Exploring 100 nodes in MinRel heuristic
No solution found by MinRel heuristic
     0     2  postponed    0               -          -      -     -    0s
Exploring 10000 nodes in MinRel heuristic
H 1087   588                    -12602.23357          -      -  37.8    2s
Feasible solution found by MinRel heuristic at node 6477
  7331  1817  postponed   64      -12602.234          -      -  27.2    5s
 16693  2815  postponed   70      -12602.234          -      -  25.9   10s
 27169  3429  postponed   66      -12602.234          -      -  23.3   15s
 35924  3895  postponed   65      -12602.234          -      -  23.4   20s
 45072  4379  postponed   62      -12602.234          -      -  24.7   25s
 52222  4734  postponed   64      -12602.234          -      -  25.8   30s
 61664  5048 infeasible   66      -12602.234          -      -  26.8   35s
 69539  5178 infeasible   66      -12602.234          -      -  27.6   40s
 78152  5250 infeasible   66      -12602.234          -      -  28.0   45s
 87444  5286 infeasible   61      -12602.234          -      -  28.8   50s
 95833  5251 infeasible   65      -12602.234          -      -  29.2   55s
 105191  5189 infeasible   58      -12602.234          -      -  29.8   60s
 113544  5128  postponed   57      -12602.234          -      -  30.4   65s
 123783  5082  postponed   64      -12602.234          -      -  30.5   70s
 132007  5042  postponed   64      -12602.234          -      -  30.7   75s
 139109  5030 infeasible   66      -12602.234          -      -  31.0   80s
 148662  5009  postponed   67      -12602.234          -      -  31.1   85s
 157996  4999 infeasible   66      -12602.234          -      -  31.3   90s
 166045  4987  postponed   67      -12602.234          -      -  31.5   95s
 174559  5073  postponed   64      -12602.234          -      -  31.7  100s
 182729  5153  postponed   66      -12602.234          -      -  31.8  105s
 190721  5146  postponed   57      -12602.234          -      -  32.1  110s
 200043  5055 infeasible   68      -12602.234          -      -  32.3  115s
 208686  5000 infeasible   66      -12602.234          -      -  32.5  120s
 217151  4882  postponed   61      -12602.234          -      -  32.6  125s
 228030  4906 infeasible   66      -12602.234          -      -  32.8  130s
 236856  4903  postponed   60      -12602.234          -      -  32.8  135s
 245370  4917  postponed   67      -12602.234          -      -  32.8  140s
 255345  4933  postponed   64      -12602.234          -      -  32.8  145s
 263748  4903  postponed   65      -12602.234          -      -  32.8  150s
 272961  4849  postponed   66      -12602.234          -      -  32.9  155s
 281286  4844 infeasible   63      -12602.234          -      -  32.9  160s
 289437  4821  postponed   65      -12602.234          -      -  33.0  165s
 298049  4826  postponed   65      -12602.234          -      -  33.1  170s
 306579  4916 infeasible   66      -12602.234          -      -  33.1  175s
 314846  4874  postponed   62      -12602.234          -      -  33.2  180s
 323036  4878 infeasible   66      -12602.234          -      -  33.2  185s
 331345  4797  postponed   65      -12602.234          -      -  33.3  190s
 339905  4730 infeasible   65      -12602.234          -      -  33.4  195s
 348007  4715  postponed   60      -12602.234          -      -  33.5  200s
 356468  4748 infeasible   66      -12602.234          -      -  33.5  205s
 364719  4678  postponed   65      -12602.234          -      -  33.6  210s
 371816  4623  postponed   63      -12602.234          -      -  33.7  215s
 380354  4679 infeasible   66      -12602.234          -      -  33.7  220s
 387403  4689 infeasible   65      -12602.234          -      -  33.8  225s
 396276  4744  postponed   64      -12602.234          -      -  33.8  230s
 405913  4724 infeasible   61      -12602.234          -      -  33.8  235s
 414357  4712  postponed   64      -12602.234          -      -  33.8  240s
 423931  4685 infeasible   66      -12602.234          -      -  33.8  245s
 432442  4622  postponed   65      -12602.234          -      -  33.7  250s
 442248  4657  postponed   64      -12602.234          -      -  33.7  255s
 450392  4655  postponed   65      -12602.234          -      -  33.7  260s
 460116  4560  postponed   65      -12602.234          -      -  33.6  265s
 469580  4564  postponed   65      -12602.234          -      -  33.6  270s
 478726  4653  postponed   63      -12602.234          -      -  33.7  275s
 485719  4699 infeasible   66      -12602.234          -      -  33.7  280s
 494233  4712 infeasible   66      -12602.234          -      -  33.8  285s
