
Gurobi 9.5.2 (win64) logging started Tue Mar 28 01:17:06 2023

Set parameter LogFile to value "2023-03-27_20hr-25min-09sec/Nodes40_Arcs55_LocNodes30/Formulation-1Instance-4.log"
Set parameter TimeLimit to value 600
Set parameter IntFeasTol to value 1e-09
Set parameter DualReductions to value 0
Set parameter NonConvex to value 2
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (win64)
Thread count: 4 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 166 rows, 290 columns and 610 nonzeros
Model fingerprint: 0x91edbf14
Model has 30 quadratic objective terms
Model has 95 SOS constraints
Variable types: 260 continuous, 30 integer (30 binary)
Coefficient statistics:
  Matrix range     [1e-02, 2e+02]
  Objective range  [3e+00, 2e+02]
  QObjective range [2e+00, 2e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [3e-02, 3e+03]
Presolve removed 9 rows and 13 columns
Presolve time: 0.00s
Presolved: 216 rows, 308 columns, 727 nonzeros
Presolved model has 87 SOS constraint(s)
Presolved model has 29 bilinear constraint(s)
Variable types: 278 continuous, 30 integer (30 binary)

Root relaxation: unbounded, 140 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0  postponed    0               -          -      -     -    0s
     0     0  postponed    0               -          -      -     -    0s
Exploring 100 nodes in MinRel heuristic
No solution found by MinRel heuristic
     0     2  postponed    0               -          -      -     -    0s
Exploring 10000 nodes in MinRel heuristic
H 2118   811                    -13862.28761          -      -  26.8    2s
Feasible solution found by MinRel heuristic at node 1926
 10116  1631 infeasible   56      -13862.288          -      -  19.1    5s
 23564  2503 infeasible   52      -13862.288          -      -  15.1   10s
 34557  2929  postponed   53      -13862.288          -      -  15.2   15s
 46612  3304  postponed   54      -13862.288          -      -  15.1   20s
 58493  3571  postponed   51      -13862.288          -      -  15.3   25s
 69260  3627 infeasible   56      -13862.288          -      -  15.3   30s
 81105  3604  postponed   48      -13862.288          -      -  15.5   35s
 95229  3576  postponed   56      -13862.288          -      -  15.9   40s
 106426  3531  postponed   52      -13862.288          -      -  15.8   45s
 119544  3464  postponed   54      -13862.288          -      -  15.8   50s
 131351  3450 infeasible   54      -13862.288          -      -  15.6   55s
 144654  3381 infeasible   53      -13862.288          -      -  15.4   60s
 156883  3372  postponed   55      -13862.288          -      -  15.3   65s
 171617  3438 infeasible   56      -13862.288          -      -  15.3   70s
 182778  3370 infeasible   49      -13862.288          -      -  15.1   75s
 195102  3323 infeasible   62      -13862.288          -      -  15.0   80s
 208017  3312 infeasible   53      -13862.288          -      -  14.9   85s
 218901  3298  postponed   55      -13862.288          -      -  14.8   90s
 231183  3249  postponed   53      -13862.288          -      -  14.7   95s
 242997  3202  postponed   54      -13862.288          -      -  14.7  100s
 258571  3437 infeasible   51      -13862.288          -      -  14.6  105s
 269149  3471  postponed   51      -13862.288          -      -  14.7  110s
 280579  3463  postponed   48      -13862.288          -      -  14.8  115s
 292391  3485  postponed   55      -13862.288          -      -  14.8  120s
 303152  3382 infeasible   47      -13862.288          -      -  14.8  125s
 314073  3404  postponed   48      -13862.288          -      -  14.9  130s
 326108  3351  postponed   55      -13862.288          -      -  14.8  135s
 337688  3284 infeasible   52      -13862.288          -      -  14.8  140s
 349313  3187 infeasible   56      -13862.288          -      -  14.8  145s
 359594  3212 infeasible   56      -13862.288          -      -  14.7  150s
 371436  3201  postponed   45      -13862.288          -      -  14.7  155s
 381180  3224  postponed   50      -13862.288          -      -  14.7  160s
 392673  3204 infeasible   53      -13862.288          -      -  14.6  165s
 403489  3146 infeasible   43      -13862.288          -      -  14.6  170s
 416425  3144 infeasible   40      -13862.288          -      -  14.5  175s
 428533  3084 infeasible   50      -13862.288          -      -  14.4  180s
 440351  3099  postponed   46      -13862.288          -      -  14.3  185s
 451579  3025 infeasible   51      -13862.288          -      -  14.3  190s
 462138  3044  postponed   55      -13862.288          -      -  14.3  195s
 474818  3266  postponed   50      -13862.288          -      -  14.2  200s
 488106  3436 infeasible   57      -13862.288          -      -  14.1  205s
 498851  3518 infeasible   53      -13862.288          -      -  14.0  210s
 509914  3478 infeasible   51      -13862.288          -      -  13.8  215s
 522948  3355 infeasible   57      -13862.288          -      -  13.7  220s
 535728  3472 infeasible   57      -13862.288          -      -  13.5  225s
 548826  3388 infeasible   57      -13862.288          -      -  13.4  230s
 562360  3360  postponed   49      -13862.288          -      -  13.2  235s
 575672  3265 infeasible   61      -13862.288          -      -  13.0  240s
 589394  3234  postponed   52      -13862.288          -      -  12.9  245s
 603933  3333  postponed   55      -13862.288          -      -  12.8  250s
 616880  3364  postponed   49      -13862.288          -      -  12.7  255s
 629903  3375  postponed   55      -13862.288          -      -  12.6  260s
 641918  3323  postponed   55      -13862.288          -      -  12.4  265s
 656219  3286  postponed   51      -13862.288          -      -  12.3  270s
 669303  3225  postponed   55      -13862.288          -      -  12.2  275s
 686038  3160 infeasible   56      -13862.288          -      -  12.0  280s
 700788  3139 infeasible   50      -13862.288          -      -  11.9  285s
