
Gurobi 9.5.2 (win64) logging started Tue Mar 28 01:27:28 2023

Set parameter LogFile to value "2023-03-27_20hr-25min-09sec/Nodes40_Arcs55_LocNodes30/Formulation-1Instance-5.log"
Set parameter TimeLimit to value 600
Set parameter IntFeasTol to value 1e-09
Set parameter DualReductions to value 0
Set parameter NonConvex to value 2
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (win64)
Thread count: 4 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 166 rows, 290 columns and 610 nonzeros
Model fingerprint: 0xcf91a867
Model has 30 quadratic objective terms
Model has 95 SOS constraints
Variable types: 260 continuous, 30 integer (30 binary)
Coefficient statistics:
  Matrix range     [5e-03, 2e+02]
  Objective range  [3e+00, 2e+02]
  QObjective range [2e+00, 2e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e-01, 3e+03]
Presolve removed 5 rows and 8 columns
Presolve time: 0.00s
Presolved: 222 rows, 314 columns, 745 nonzeros
Presolved model has 89 SOS constraint(s)
Presolved model has 30 bilinear constraint(s)
Variable types: 284 continuous, 30 integer (30 binary)

Root relaxation: unbounded, 149 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0  postponed    0               -          -      -     -    0s
     0     0  postponed    0               -          -      -     -    0s
Exploring 100 nodes in MinRel heuristic
No solution found by MinRel heuristic
     0     2  postponed    0               -          -      -     -    0s
Exploring 10000 nodes in MinRel heuristic
H 2121   779                    -13074.98343          -      -  37.0    3s
Feasible solution found by MinRel heuristic at node 3056
H 3770   887                    -11051.98343          -      -  32.9    4s
  5094   702  postponed   33      -11051.983          -      -  29.3    5s
 16970  1244 infeasible   53      -11051.983          -      -  14.5   10s
 30409  1764  postponed   22      -11051.983          -      -  11.8   15s
 45238  2042 infeasible   55      -11051.983          -      -  10.9   20s
 58800  2170  postponed   48      -11051.983          -      -  10.6   25s
 71871  2250 infeasible   46      -11051.983          -      -  10.4   30s
 85382  2382 infeasible   51      -11051.983          -      -  10.2   35s
 99922  2185 infeasible   50      -11051.983          -      -  10.0   40s
 114137  2059 infeasible   41      -11051.983          -      -  10.0   45s
 129047  2080 infeasible   51      -11051.983          -      -   9.8   50s
 143619  1983 infeasible   51      -11051.983          -      -   9.6   55s
 158347  1907  postponed   52      -11051.983          -      -   9.4   60s
 172686  1868  postponed   52      -11051.983          -      -   9.4   65s
 185965  1854 infeasible   57      -11051.983          -      -   9.3   70s
 199395  1838 infeasible   52      -11051.983          -      -   9.3   75s
 214398  1831  postponed   52      -11051.983          -      -   9.2   80s
 228972  1808 infeasible   53      -11051.983          -      -   9.1   85s
 247004  1740 infeasible   43      -11051.983          -      -   9.1   90s
 261738  1792 infeasible   58      -11051.983          -      -   9.0   95s
 276447  1791  postponed   50      -11051.983          -      -   9.0  100s
 290923  1674  postponed   47      -11051.983          -      -   8.9  105s
 305405  1634  postponed   50      -11051.983          -      -   8.9  110s
 320934  1764 infeasible   46      -11051.983          -      -   8.8  115s
 334472  1737 infeasible   53      -11051.983          -      -   8.7  120s
 350266  1725  postponed   50      -11051.983          -      -   8.6  125s
 362362  1674 infeasible   54      -11051.983          -      -   8.5  130s
 375463  1599 infeasible   45      -11051.983          -      -   8.5  135s
 387557  1557 infeasible   55      -11051.983          -      -   8.5  140s
 401885  1556 infeasible   54      -11051.983          -      -   8.5  145s
 415480  1555 infeasible   47      -11051.983          -      -   8.4  150s
 427712  1592  postponed   53      -11051.983          -      -   8.4  155s
 442248  1537  postponed   60      -11051.983          -      -   8.4  160s
 454485  1461  postponed   52      -11051.983          -      -   8.3  165s
 467558  1383 infeasible   54      -11051.983          -      -   8.3  170s
 480797  1413  postponed   54      -11051.983          -      -   8.3  175s
 494139  1457 infeasible   58      -11051.983          -      -   8.3  180s
 507406  1398 infeasible   60      -11051.983          -      -   8.3  185s
 520612  1443  postponed   58      -11051.983          -      -   8.3  190s
 532602  1752  postponed   39      -11051.983          -      -   8.3  195s
 545279  2015 infeasible   47      -11051.983          -      -   8.3  200s
 560312  2159  postponed   55      -11051.983          -      -   8.3  205s
 573511  2144  postponed   53      -11051.983          -      -   8.4  210s
 588105  2201  postponed   58      -11051.983          -      -   8.4  215s
 601756  2289 infeasible   61      -11051.983          -      -   8.4  220s
 616463  2110 infeasible   56      -11051.983          -      -   8.4  225s
 631178  2191  postponed   57      -11051.983          -      -   8.3  230s
 645526  2315  postponed   54      -11051.983          -      -   8.3  235s
 660204  2266 infeasible   55      -11051.983          -      -   8.3  240s
 674772  2228 infeasible   63      -11051.983          -      -   8.2  245s
 688033  2132 infeasible   56      -11051.983          -      -   8.2  250s
 702216  1966  postponed   54      -11051.983          -      -   8.2  255s
 716465  1860  postponed   54      -11051.983          -      -   8.2  260s
 731248  1723  postponed   45      -11051.983          -      -   8.2  265s
 748231  1878  postponed   45      -11051.983          -      -   8.3  270s
 762910  1981 infeasible   43      -11051.983          -      -   8.3  275s
 777852  1941 infeasible   56      -11051.983          -      -   8.2  280s
