
Gurobi 9.5.2 (win64) logging started Tue Mar 28 01:58:05 2023

Set parameter LogFile to value "2023-03-27_20hr-25min-09sec/Nodes40_Arcs65_LocNodes30/Formulation-1Instance-3.log"
Set parameter TimeLimit to value 600
Set parameter IntFeasTol to value 1e-09
Set parameter DualReductions to value 0
Set parameter NonConvex to value 2
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (win64)
Thread count: 4 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 176 rows, 310 columns and 670 nonzeros
Model fingerprint: 0x314e6775
Model has 30 quadratic objective terms
Model has 105 SOS constraints
Variable types: 280 continuous, 30 integer (30 binary)
Coefficient statistics:
  Matrix range     [1e-02, 2e+02]
  Objective range  [3e+00, 2e+02]
  QObjective range [2e+00, 2e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e-01, 3e+03]
Presolve time: 0.00s
Presolved: 237 rows, 342 columns, 824 nonzeros
Presolved model has 105 SOS constraint(s)
Presolved model has 30 bilinear constraint(s)
Variable types: 312 continuous, 30 integer (30 binary)

Root relaxation: unbounded, 160 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0  postponed    0               -          -      -     -    0s
     0     0  postponed    0               -          -      -     -    0s
Exploring 100 nodes in MinRel heuristic
No solution found by MinRel heuristic
     0     2  postponed    0               -          -      -     -    0s
Exploring 10000 nodes in MinRel heuristic
H 2155   930                    -12072.82190          -      -  59.5    3s
Feasible solution found by MinRel heuristic at node 3542
  4867  1095 infeasible   73      -12072.822          -      -  44.5    5s
 14676  2256 infeasible   74      -12072.822          -      -  28.5   10s
 23552  2712  postponed   74      -12072.822          -      -  27.0   15s
 32287  3039  postponed   69      -12072.822          -      -  27.4   20s
 41093  3213  postponed   67      -12072.822          -      -  28.6   25s
 49509  3486 infeasible   70      -12072.822          -      -  29.2   30s
 57557  3623 infeasible   65      -12072.822          -      -  28.8   35s
 68817  3735  postponed   67      -12072.822          -      -  27.4   40s
 79241  3716  postponed   65      -12072.822          -      -  27.2   45s
 89545  3722  postponed   73      -12072.822          -      -  27.4   50s
 100792  3845 infeasible   74      -12072.822          -      -  27.2   55s
 112106  3814  postponed   73      -12072.822          -      -  26.9   60s
 122871  3765  postponed   73      -12072.822          -      -  26.7   65s
 134103  3727 infeasible   70      -12072.822          -      -  26.3   70s
 145043  3693 infeasible   74      -12072.822          -      -  26.0   75s
 156288  3649  postponed   73      -12072.822          -      -  25.6   80s
 167630  3810 infeasible   74      -12072.822          -      -  25.5   85s
 178069  3951  postponed   73      -12072.822          -      -  25.5   90s
 186524  3996 infeasible   74      -12072.822          -      -  25.5   95s
 196320  3990 infeasible   74      -12072.822          -      -  25.3  100s
 207343  3945  postponed   73      -12072.822          -      -  25.0  105s
 218267  3859 infeasible   74      -12072.822          -      -  24.9  110s
 227586  3880  postponed   73      -12072.822          -      -  24.8  115s
 237373  3902  postponed   73      -12072.822          -      -  24.7  120s
 247670  3823 infeasible   74      -12072.822          -      -  24.8  125s
 257384  3805 infeasible   74      -12072.822          -      -  24.7  130s
 268370  3791  postponed   72      -12072.822          -      -  24.6  135s
 278027  3773 infeasible   68      -12072.822          -      -  24.6  140s
 288738  3718  postponed   73      -12072.822          -      -  24.5  145s
 298542  3663 infeasible   74      -12072.822          -      -  24.5  150s
 308307  3604 infeasible   74      -12072.822          -      -  24.4  155s
 318193  3595 infeasible   74      -12072.822          -      -  24.3  160s
 328534  3595  postponed   72      -12072.822          -      -  24.3  165s
 338358  3533  postponed   64      -12072.822          -      -  24.2  170s
 348671  3503  postponed   70      -12072.822          -      -  24.2  175s
 359982  3457 infeasible   74      -12072.822          -      -  24.2  180s
 371352  3541  postponed   66      -12072.822          -      -  24.2  185s
 380196  3573  postponed   72      -12072.822          -      -  24.3  190s
 389564  3481 infeasible   68      -12072.822          -      -  24.5  195s
 399080  3433  postponed   71      -12072.822          -      -  24.6  200s
 408622  3393 infeasible   68      -12072.822          -      -  24.7  205s
 418067  3352  postponed   73      -12072.822          -      -  24.7  210s
 427647  3441  postponed   71      -12072.822          -      -  24.8  215s
 437980  3536  postponed   73      -12072.822          -      -  24.8  220s
 448953  3596 infeasible   74      -12072.822          -      -  24.9  225s
 459922  3662  postponed   72      -12072.822          -      -  24.9  230s
 469511  3712  postponed   70      -12072.822          -      -  24.9  235s
 480524  3783  postponed   72      -12072.822          -      -  24.9  240s
 491763  3820  postponed   72      -12072.822          -      -  24.9  245s
 503736  3823 infeasible   74      -12072.822          -      -  24.9  250s
 514502  3731  postponed   73      -12072.822          -      -  24.9  255s
 523976  3707  postponed   61      -12072.822          -      -  24.9  260s
 534807  3616  postponed   73      -12072.822          -      -  24.9  265s
 544520  3571  postponed   73      -12072.822          -      -  24.9  270s
 554102  3494 infeasible   74      -12072.822          -      -  24.9  275s
 566109  3470 infeasible   74      -12072.822          -      -  24.9  280s
 576845  3387  postponed   59      -12072.822          -      -  24.9  285s
 586441  3360  postponed   70      -12072.822          -      -  24.9  290s
