
Gurobi 9.5.2 (win64) logging started Tue Mar 28 02:18:30 2023

Set parameter LogFile to value "2023-03-27_20hr-25min-09sec/Nodes40_Arcs65_LocNodes30/Formulation-1Instance-5.log"
Set parameter TimeLimit to value 600
Set parameter IntFeasTol to value 1e-09
Set parameter DualReductions to value 0
Set parameter NonConvex to value 2
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (win64)
Thread count: 4 physical cores, 8 logical processors, using up to 8 threads
Optimize a model with 176 rows, 310 columns and 670 nonzeros
Model fingerprint: 0x7bf6d644
Model has 30 quadratic objective terms
Model has 105 SOS constraints
Variable types: 280 continuous, 30 integer (30 binary)
Coefficient statistics:
  Matrix range     [5e-03, 2e+02]
  Objective range  [3e+00, 2e+02]
  QObjective range [2e+00, 2e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e-01, 3e+03]
Presolve removed 5 rows and 9 columns
Presolve time: 0.00s
Presolved: 232 rows, 333 columns, 798 nonzeros
Presolved model has 98 SOS constraint(s)
Presolved model has 30 bilinear constraint(s)
Variable types: 303 continuous, 30 integer (30 binary)

Root relaxation: unbounded, 148 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0  postponed    0               -          -      -     -    0s
     0     0  postponed    0               -          -      -     -    0s
Exploring 100 nodes in MinRel heuristic
No solution found by MinRel heuristic
     0     2  postponed    0               -          -      -     -    0s
Exploring 10000 nodes in MinRel heuristic
MinRel: 4374 nodes explored, relaxation 2.87e+01, total elapsed time 5s
H 4203   728                    -10254.69299          -      -  42.4    5s
Feasible solution found by MinRel heuristic at node 5014
 12375  1029 infeasible   23      -10254.693          -      -  40.4   10s
 21291  1653  postponed   35      -10254.693          -      -  39.7   15s
 30178  1985 infeasible   61      -10254.693          -      -  38.0   20s
 38435  2098 infeasible   39      -10254.693          -      -  36.3   25s
 47308  2276  postponed   56      -10254.693          -      -  36.0   30s
 55404  2496  postponed   56      -10254.693          -      -  35.6   35s
 64258  2684 infeasible   57      -10254.693          -      -  34.9   40s
 73953  2789 infeasible   58      -10254.693          -      -  34.4   45s
 82081  2859 infeasible   62      -10254.693          -      -  34.2   50s
 90377  2865 infeasible   67      -10254.693          -      -  34.0   55s
 98337  2930  postponed   58      -10254.693          -      -  34.0   60s
 106586  3015  postponed   64      -10254.693          -      -  33.9   65s
 113508  2993 infeasible   58      -10254.693          -      -  33.9   70s
 120699  2941 infeasible   66      -10254.693          -      -  33.8   75s
 129022  2900 infeasible   69      -10254.693          -      -  33.7   80s
 136435  2769 infeasible   55      -10254.693          -      -  33.6   85s
 145068  2638  postponed   66      -10254.693          -      -  33.6   90s
 152603  2592  postponed   68      -10254.693          -      -  33.4   95s
 161112  2617 infeasible   58      -10254.693          -      -  33.3  100s
 169156  2700  postponed   65      -10254.693          -      -  33.3  105s
 176350  2646  postponed   63      -10254.693          -      -  33.2  110s
 184570  2671  postponed   64      -10254.693          -      -  33.2  115s
 192723  2664 infeasible   55      -10254.693          -      -  33.3  120s
 199891  2606  postponed   67      -10254.693          -      -  33.4  125s
 207237  2564 infeasible   69      -10254.693          -      -  33.4  130s
 214431  2607 infeasible   62      -10254.693          -      -  33.4  135s
 223334  2672 infeasible   57      -10254.693          -      -  33.3  140s
 231687  2704 infeasible   63      -10254.693          -      -  33.3  145s
 238599  2655  postponed   63      -10254.693          -      -  33.3  150s
 246825  2501  postponed   65      -10254.693          -      -  33.4  155s
 253935  2516  postponed   68      -10254.693          -      -  33.4  160s
 262367  2405 infeasible   47      -10254.693          -      -  33.3  165s
 270708  2333  postponed   65      -10254.693          -      -  33.3  170s
 278980  2244 infeasible   59      -10254.693          -      -  33.3  175s
 285996  2196 infeasible   63      -10254.693          -      -  33.4  180s
 294774  2199 infeasible   64      -10254.693          -      -  33.3  185s
 300977  2192  postponed   63      -10254.693          -      -  33.3  190s
 309185  2187  postponed   50      -10254.693          -      -  33.3  195s
 317558  2350  postponed   53      -10254.693          -      -  33.3  200s
 325910  2501  postponed   48      -10254.693          -      -  33.4  205s
 332580  2504  postponed   62      -10254.693          -      -  33.5  210s
 341030  2444 infeasible   61      -10254.693          -      -  33.5  215s
 349413  2379 infeasible   58      -10254.693          -      -  33.6  220s
 357514  2396  postponed   62      -10254.693          -      -  33.7  225s
 365064  2401 infeasible   63      -10254.693          -      -  33.7  230s
 372391  2385 infeasible   43      -10254.693          -      -  33.7  235s
 380823  2295 infeasible   59      -10254.693          -      -  33.7  240s
 389026  2272 infeasible   56      -10254.693          -      -  33.8  245s
 396644  2205 infeasible   56      -10254.693          -      -  33.7  250s
 405013  2179 infeasible   58      -10254.693          -      -  33.7  255s
 413613  2204  postponed   55      -10254.693          -      -  33.7  260s
 421949  2158  postponed   61      -10254.693          -      -  33.7  265s
 431449  2080  postponed   49      -10254.693          -      -  33.8  270s
 439137  2097 infeasible   62      -10254.693          -      -  33.7  275s
 448782  2122 infeasible   63      -10254.693          -      -  33.7  280s
 457373  2182  postponed   56      -10254.693          -      -  33.7  285s
