Arc,alpha_0,alpha_1,,DemandNode,beta_0,(-) beta_1,,SuppplyNode,gamma_0,gamma_1
"(2, 1)",1.0485114230184935,0.557392638068624,,3,1363,-3.000001360125742,,2,1.4917838796084668,0.8612625322502753
"(3, 2)",1.0992143967191468,0.8942466431487466,,4,1387,-3.0604275084486785,,6,1.6152069989105056,0.16369416060025233
"(4, 3)",1.2502251994343072,0.11451719343149747,,5,1350,-3.214651458203167,,8,1.2481272150528582,0.689622600189066
"(5, 1)",2.0410253491383923,0.005490412816475665,,6,1390,-3.4176536525414942,,10,1.55261342911153,0.24938189039179104
"(6, 5)",2.3558218566264353,0.3903190431939725,,7,1338,-3.6015702312396174,,14,1.6723868184112787,0.06558293665733816
"(7, 3)",2.822874246928783,0.6833503682366813,,8,1332,-3.9810306173910446,,16,1.191112780902738,0.19248656241474915
"(8, 4)",1.1271001244391348,1.8562268420291475,,12,1364,-3.890477209697811,,17,1.990367080563936,0.6779263430704467
"(9, 6)",2.120322613421769,1.7794565770190949,,15,1492,-3.2422540820564363,,21,1.7464594793295571,0.501656204783526
"(10, 3)",1.0249020299225098,0.9610020332922928,,17,1318,-3.6115452373176544,,22,1.9553312668018794,0.5490310411105226
"(11, 10)",2.4720053959285284,0.9095196371651626,,21,1409,-3.921541830487904,,23,1.2939463711882544,0.4531642783386005
"(12, 1)",0.6919467112165149,1.3339860877077614,,23,1487,-3.1016023479137695,,24,1.4434928765948256,0.2743479267483412
"(13, 4)",2.6130411355236483,1.7175098049197082,,24,1392,-3.854038935386547,,25,1.2614385544780151,0.4883478310464564
"(14, 5)",1.5153157593011164,0.674595011497398,,25,1373,-3.3960706942515033,,26,1.0466916153719248,0.9224461272890361
"(15, 8)",2.1760320950063927,1.5873090555173122,,28,1411,-3.7816874359586503,,28,1.016676838270571,0.20149492808148173
"(16, 7)",1.6049790442431244,0.7979745061760877,,29,1335,-3.322597171693702,,29,1.2467478411597481,0.7327341053629872
"(17, 3)",0.9483640478568586,1.1881077647754148,,,,,,,,
"(18, 1)",1.4829056977153598,1.4749339655804539,,,,,,,,
"(19, 1)",0.15135124097406283,1.0027144088342523,,,,,,,,
"(20, 1)",0.12897769471384102,1.3815515424133988,,,,,,,,
"(21, 3)",1.5898899792081886,1.3946269647176022,,,,,,,,
"(22, 21)",1.4315234277084468,0.01142537985583636,,,,,,,,
"(23, 5)",2.499411978549335,0.07813106651162882,,,,,,,,
"(24, 16)",0.06036785373768261,0.29807662163109905,,,,,,,,
"(25, 19)",1.670651432095008,0.42727026869846507,,,,,,,,
"(26, 6)",1.4719113130454473,0.40642921418906375,,,,,,,,
"(27, 8)",1.7939914126519727,0.09793116350589925,,,,,,,,
"(28, 12)",2.188735872383174,0.4344228044995597,,,,,,,,
"(29, 8)",1.5742218264098893,1.2018947388005938,,,,,,,,
"(30, 29)",1.6891146610691152,1.7721503228607063,,,,,,,,
"(29, 6)",1.2557221576483237,1.7592376289276215,,,,,,,,
"(24, 11)",0.17999245908030748,0.7228552705910452,,,,,,,,
"(16, 9)",1.6247059229055352,0.12468872098219252,,,,,,,,
"(23, 7)",0.4677573213683264,0.05021667864599477,,,,,,,,
"(28, 23)",2.852329764540266,0.7466564386587555,,,,,,,,
"(28, 4)",2.4033414989706925,0.8196569800967486,,,,,,,,
