Node,barQ_i(capacity),c_i(fixed cost),v_i(variable cost)
1,129,171,4.864119373226757
2,190,197,3.22986526656181
3,167,181,4.458030234152619
6,189,167,4.85484785724912
7,119,199,4.935852379849293
8,175,180,3.0294126099307386
9,194,197,4.727280180491151
10,104,150,4.962390080132689
13,136,173,4.914420359221927
15,163,191,3.297528024464996
17,110,187,4.94525762764591
18,151,170,4.779871111441041
19,162,174,4.644747655086141
20,176,171,3.9599758476156643
21,192,176,3.4647458392786077
22,140,161,4.603761157436615
23,144,189,4.847060319566939
24,147,153,3.5322605445845854
25,195,170,4.077868815244374
28,119,164,3.885505657949063
29,149,186,4.86203463196231
30,104,187,3.0810214223768693
