Arc,alpha_0,alpha_1,,DemandNode,beta_0,(-) beta_1,,SuppplyNode,gamma_0,gamma_1
"(2, 1)",2.106701522845839,1.4128036810464395,,1,1497,-3.581015961965602,,1,1.410644590674564,0.005104778836135804
"(3, 2)",2.1440872780561824,1.246798338399202,,2,1415,-3.263953892084908,,2,1.5543885179441617,0.09482838158952323
"(4, 1)",1.2097591366592777,0.36515599169142776,,3,1385,-3.451037175534762,,4,1.7000295968333856,0.8490306083855258
"(5, 2)",1.4267981763644595,0.18126307990378066,,6,1414,-3.3820303459754113,,8,1.3723528416326158,0.6055201771733307
"(6, 3)",1.4523927930099858,0.1246148174718944,,7,1373,-3.0238014295139037,,10,1.2919565970504263,0.7742126693092963
"(7, 6)",2.839658381536603,0.29463840558953813,,8,1387,-3.923733817629218,,12,1.7229552593443904,0.420079548499083
"(8, 1)",0.3151657752463415,0.45827649475694154,,9,1480,-3.0108421776056224,,13,1.6909432331848229,0.6658182105159381
"(9, 2)",1.9033600598409794,0.47919501799597164,,11,1354,-3.2987573765272566,,14,1.496200972332485,0.6963513537207333
"(10, 5)",1.4231796055430386,0.43096458917291924,,12,1309,-3.9347826124004817,,16,1.69075275294865,0.2022258717169878
"(11, 3)",2.4670739585814596,0.8956566764573586,,20,1340,-3.99696647724522,,21,1.6757640179003852,0.037357465527559586
"(12, 5)",0.6492313382477832,1.2995824332327777,,21,1384,-3.671520440047916,,27,1.5752864874069754,0.10126310609996159
"(13, 5)",2.8237992068190634,1.7353244510480819,,24,1356,-3.418796689284422,,32,1.8202203988909758,0.3608553426809299
"(14, 1)",2.3507198514890817,1.80639045716746,,26,1487,-3.3816356071500326,,33,1.7599485773994283,0.25340720655084736
"(15, 1)",2.3146155107444306,0.35652354260580066,,31,1327,-3.3838042327144047,,34,1.7229884475317467,0.7993607028033677
"(16, 2)",2.613595423309238,1.9263201048519247,,32,1447,-3.5385584525958174,,35,1.8935327997694138,0.8723707894471328
"(17, 11)",0.6099214834836225,1.2938851213853093,,34,1436,-3.6711089573965907,,36,1.0004340488087418,0.14612440426885953
"(18, 17)",0.7275462018134965,0.6142548445850802,,35,1462,-3.1863740475926785,,37,1.8110309910408469,0.9426634716644197
"(19, 17)",0.28328158461427577,1.535483913586738,,36,1365,-3.518993314002098,,38,1.1668474864201022,0.9443354737438289
"(20, 14)",1.8862447369700623,0.5165771047832244,,37,1467,-3.5399912743528494,,39,1.0740119390654246,0.9306861981862143
"(21, 19)",2.8891976144026597,1.3484874437454197,,40,1482,-3.1577923191396406,,40,1.1251578824853883,0.43332152464109475
"(22, 10)",0.5547683192312235,0.5902279063681439,,,,,,,,
"(23, 13)",0.6149432519027273,1.101472917951268,,,,,,,,
"(24, 15)",1.4906253226651573,0.17550870527646523,,,,,,,,
"(25, 10)",2.9132654819672936,1.817672579676992,,,,,,,,
"(26, 7)",1.883857217254678,0.16585302788427958,,,,,,,,
"(27, 19)",2.2183574182310544,1.5101413444894918,,,,,,,,
